event_id,semantic_type,annotator_id,annotator_background,session_id,start_time_iso,end_time_iso,elapsed_minutes,facts_count,rules_count,conditions_count,source_docs_count,policy_complexity_points,source_documents,public_materials_used,oracle_access_during_annotation,model_output_access_during_annotation,candidate_description_access,produced_policy_file,unique_gate_decision,selected_candidate_id_after_gate,oracle_correct_after_blind_check,revision_count,blocking_issue,notes
E14,TEMPORAL_VERSION,,A1,,2026-08-26T19:10:00,2026-08-26T19:31:00,21,3,3,5,2,50,DOC_E14_CURRENT|DOC_E14_FUTURE,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E17,TEMPORAL_VERSION,,A2,,2026-08-26T19:10:00,2026-08-26T19:32:00,22,3,3,3,1,42,DOC_E17_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E21,TEMPORAL_VERSION,,A3,,2026-08-26T19:10:00,2026-08-26T19:30:00,20,3,3,2,1,40,DOC_E21_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E42,TEMPORAL_VERSION,,A4,,2026-08-26T19:10:00,2026-08-26T19:41:00,31,3,3,3,1,42,DOC_E42_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E27,GENERAL_RULE_EXCEPTION,,A5,,2026-08-26T19:10:00,2026-08-26T19:37:00,27,3,3,3,1,42,DOC_E27_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E30,GENERAL_RULE_EXCEPTION,,A6,,2026-08-26T19:10:00,2026-08-26T19:48:00,38,3,3,4,1,44,DOC_E30_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E31,GENERAL_RULE_EXCEPTION,,A7,,2026-08-26T19:10:00,2026-08-26T19:43:00,33,3,3,3,1,42,DOC_E31_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E45,GENERAL_RULE_EXCEPTION,,A8,,2026-08-26T19:10:00,2026-08-26T19:37:00,27,2,3,3,1,39,DOC_E45_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E34,CROSS_SENTENCE_SCOPE,,A9,,2026-08-26T19:10:00,2026-08-26T19:49:00,39,2,3,5,1,43,DOC_E34_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E37,CROSS_SENTENCE_SCOPE,,A10,,2026-08-26T19:10:00,2026-08-26T19:41:00,31,3,3,4,1,44,DOC_E37_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E41,CROSS_SENTENCE_SCOPE,,A11,,2026-08-26T19:10:00,2026-08-26T19:40:00,30,2,3,3,1,39,DOC_E41_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,1,,
E47,CROSS_SENTENCE_SCOPE,,A12,,2026-08-26T19:10:00,2026-08-26T19:52:00,42,2,3,4,1,41,DOC_E47_TERMS,old/new document excerpts; target metadata; candidate formal operations,FALSE,FALSE,FALSE,,,,,2,,
