event_id,semantic_type,domain,attempts,selected,abstains,oracle_accuracy,full_closure_accuracy,strict_event_success
EXT_E001,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E002,CROSS_SENTENCE_SCOPE,insurance,3,0,3,0.0,0.0,False
EXT_E003,GENERAL_RULE_EXCEPTION,insurance,3,0,3,0.0,0.0,False
EXT_E004,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E005,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E006,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E007,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E008,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E009,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E010,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E011,TEMPORAL_VERSION,web_accessibility,3,3,0,0.0,0.0,False
EXT_E012,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E013,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,1.0,1.0,True
EXT_E014,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,1.0,1.0,True
EXT_E015,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,1.0,1.0,True
EXT_E016,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,1.0,1.0,True
EXT_E017,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,1.0,1.0,True
EXT_E018,CROSS_SENTENCE_SCOPE,web_accessibility,3,1,2,0.0,0.0,False
EXT_E019,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,1.0,1.0,True
EXT_E020,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,0.0,0.0,False
EXT_E021,CROSS_SENTENCE_SCOPE,web_accessibility,3,3,0,0.0,0.0,False
EXT_E022,GENERAL_RULE_EXCEPTION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E023,GENERAL_RULE_EXCEPTION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E024,GENERAL_RULE_EXCEPTION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E025,GENERAL_RULE_EXCEPTION,digital_identity,3,3,0,1.0,1.0,True
EXT_E026,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E027,GENERAL_RULE_EXCEPTION,digital_identity,3,3,0,1.0,1.0,True
EXT_E028,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
