method,semantic_type,attempts,coverage,oracle_accuracy,oracle_ci95_low,oracle_ci95_high,wrong_selection_rate,invalid_output_rate,abstain_rate,mean_runtime_ms
DIRECT_FREE,ALL,60,0.75,0.75,0.6276792992295218,0.8422347746994333,0.0,0.0,0.25,4339.5
DIRECT_FREE,CROSS_SENTENCE_SCOPE,20,0.75,0.75,0.531299122381256,0.8881382985923343,0.0,0.0,0.25,4084.25
DIRECT_FREE,GENERAL_RULE_EXCEPTION,20,0.75,0.75,0.531299122381256,0.8881382985923343,0.0,0.0,0.25,4253.95
DIRECT_FREE,TEMPORAL_VERSION,20,0.75,0.75,0.531299122381256,0.8881382985923343,0.0,0.0,0.25,4680.3
OPTION_DESCRIPTION,ALL,60,1.0,1.0,0.93982814785791,0.9999999999999998,0.0,0.0,0.0,5053.92
OPTION_DESCRIPTION,CROSS_SENTENCE_SCOPE,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,4889.55
OPTION_DESCRIPTION,GENERAL_RULE_EXCEPTION,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,4604.5
OPTION_DESCRIPTION,TEMPORAL_VERSION,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,5667.7
OPTION_FORMAL_OPERATION,ALL,60,0.8666666666666667,0.6833333333333333,0.5576623297382323,0.7869413244763347,0.18333333333333332,0.0,0.13333333333333333,5444.28
OPTION_FORMAL_OPERATION,CROSS_SENTENCE_SCOPE,20,0.8,0.6,0.3865815007622531,0.781193467627183,0.2,0.0,0.2,5418.3
OPTION_FORMAL_OPERATION,GENERAL_RULE_EXCEPTION,20,0.95,0.75,0.531299122381256,0.8881382985923343,0.2,0.0,0.05,5044.15
OPTION_FORMAL_OPERATION,TEMPORAL_VERSION,20,0.85,0.7,0.4810271816464765,0.8545227551323956,0.15,0.0,0.15,5870.4
OPTION_FORMAL_POLICY,ALL,60,1.0,0.9666666666666667,0.886362257256914,0.9908106807438021,0.03333333333333333,0.0,0.0,4999.28
OPTION_FORMAL_POLICY,CROSS_SENTENCE_SCOPE,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,4758.85
OPTION_FORMAL_POLICY,GENERAL_RULE_EXCEPTION,20,1.0,0.95,0.763868806553258,0.9911185511992047,0.05,0.0,0.0,4928.75
OPTION_FORMAL_POLICY,TEMPORAL_VERSION,20,1.0,0.95,0.763868806553258,0.9911185511992047,0.05,0.0,0.0,5310.25
OPTION_FORMAL_POLICY_HARD_GATE,ALL,60,1.0,1.0,0.93982814785791,0.9999999999999998,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,CROSS_SENTENCE_SCOPE,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,GENERAL_RULE_EXCEPTION,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,TEMPORAL_VERSION,20,1.0,1.0,0.8388748419471806,1.0,0.0,0.0,0.0,0
OPTION_VALUE_ONLY,ALL,60,0.9166666666666666,0.7666666666666667,0.6456372962239805,0.8556043826335717,0.15,0.0,0.08333333333333333,5129.82
OPTION_VALUE_ONLY,CROSS_SENTENCE_SCOPE,20,1.0,0.75,0.531299122381256,0.8881382985923343,0.25,0.0,0.0,4969.25
OPTION_VALUE_ONLY,GENERAL_RULE_EXCEPTION,20,0.75,0.75,0.531299122381256,0.8881382985923343,0.0,0.0,0.25,4840.1
OPTION_VALUE_ONLY,TEMPORAL_VERSION,20,1.0,0.8,0.5839825677481064,0.919342337420202,0.2,0.0,0.0,5580.1
VALUE_ENUM,ALL,60,0.7333333333333333,0.7333333333333333,0.6099128690331636,0.8286735999671945,0.0,0.0,0.26666666666666666,4276.88
VALUE_ENUM,CROSS_SENTENCE_SCOPE,20,0.75,0.75,0.531299122381256,0.8881382985923343,0.0,0.0,0.25,4160.65
VALUE_ENUM,GENERAL_RULE_EXCEPTION,20,0.75,0.75,0.531299122381256,0.8881382985923343,0.0,0.0,0.25,4073.5
VALUE_ENUM,TEMPORAL_VERSION,20,0.7,0.7,0.4810271816464765,0.8545227551323956,0.0,0.0,0.3,4596.5
