scenario,method,independent_error_events,permutation_runs,attempts,selected,abstained,coverage,safe_accepts,safe_accept_rate,safe_accept_95ci_low,safe_accept_95ci_high,unsafe_accepts,unsafe_accept_rate,accepted_precision,oracle_available,oracle_successes,oracle_success_rate,first_position_safe_rate,first_position_oracle_rate,mean_selection_stability
ORDER_AND_ID_RELABEL,FIRST_POSITION,8,1000,8000,8000,0,1.0,4396,0.5495,0.5385761261275475,0.5603763586355246,3604,0.4505,0.5495,8000,4396,0.5495,0.5495,0.5495,0.5135000000000001
ORDER_AND_ID_RELABEL,FULL_GATE_CONTENT_HASH,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.5495,0.5495,0.938125
ORDER_AND_ID_RELABEL,FULL_GATE_FIRST_SURVIVOR,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.5495,0.5495,0.94275
ORDER_AND_ID_RELABEL,FULL_GATE_RANDOM_SURVIVOR,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.5495,0.5495,0.939125
ORDER_AND_ID_RELABEL,FULL_GATE_UNIQUE_ONLY,8,1000,8000,7000,1000,0.875,7000,0.875,0.8675724576749803,0.8820675784088997,0,0.0,1.0,7000,7000,0.875,0.5495,0.5495,1.0
ORDER_AND_ID_RELABEL,LOWEST_CURRENT_CANDIDATE_ID,8,1000,8000,8000,0,1.0,4396,0.5495,0.5385761261275475,0.5603763586355246,3604,0.4505,0.5495,8000,4396,0.5495,0.5495,0.5495,0.5135000000000001
ORDER_AND_ID_RELABEL,RANDOM_ALL,8,1000,8000,8000,0,1.0,4289,0.536125,0.5251823732776824,0.5470329501983979,3711,0.463875,0.536125,8000,4289,0.536125,0.5495,0.5495,0.516375
ORDER_AND_ID_RELABEL,REASONER_UNIQUE_ONLY,8,1000,8000,2000,6000,0.25,2000,0.25,0.2406328716481283,0.2596071042959516,0,0.0,1.0,2000,2000,0.25,0.5495,0.5495,1.0
ORDER_AND_ID_RELABEL,UNIQUE_MIN_EDIT,8,1000,8000,3000,5000,0.375,2000,0.25,0.2406328716481283,0.2596071042959516,1000,0.125,0.6666666666666666,3000,2000,0.25,0.5495,0.5495,1.0
ORDER_ONLY,FIRST_POSITION,8,1000,8000,8000,0,1.0,4335,0.541875,0.5309394646513034,0.5527703393780633,3665,0.458125,0.541875,8000,4335,0.541875,0.541875,0.541875,0.51125
ORDER_ONLY,FULL_GATE_CONTENT_HASH,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.541875,0.541875,0.938
ORDER_ONLY,FULL_GATE_FIRST_SURVIVOR,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.541875,0.541875,0.93925
ORDER_ONLY,FULL_GATE_RANDOM_SURVIVOR,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.541875,0.541875,0.938125
ORDER_ONLY,FULL_GATE_UNIQUE_ONLY,8,1000,8000,7000,1000,0.875,7000,0.875,0.8675724576749803,0.8820675784088997,0,0.0,1.0,7000,7000,0.875,0.541875,0.541875,1.0
ORDER_ONLY,LOWEST_CURRENT_CANDIDATE_ID,8,1000,8000,8000,0,1.0,8000,1.0,0.99952004811184,1.0,0,0.0,1.0,8000,8000,1.0,0.541875,0.541875,1.0
ORDER_ONLY,RANDOM_ALL,8,1000,8000,8000,0,1.0,4350,0.54375,0.5328170932416068,0.5546409109681791,3650,0.45625,0.54375,8000,4350,0.54375,0.541875,0.541875,0.50975
ORDER_ONLY,REASONER_UNIQUE_ONLY,8,1000,8000,2000,6000,0.25,2000,0.25,0.2406328716481283,0.2596071042959516,0,0.0,1.0,2000,2000,0.25,0.541875,0.541875,1.0
ORDER_ONLY,UNIQUE_MIN_EDIT,8,1000,8000,3000,5000,0.375,2000,0.25,0.2406328716481283,0.2596071042959516,1000,0.125,0.6666666666666666,3000,2000,0.25,0.541875,0.541875,1.0
