method,semantic_type,events,attempts,oracle_successes,oracle_accuracy,wrong_selections,wrong_selection_rate,abstains,abstain_rate,invalid_outputs,strict_event_successes,strict_event_accuracy,stable_events,event_ids
DIRECT_FREE,CROSS_SENTENCE_SCOPE,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E002|EXT_E013|EXT_E014|EXT_E015|EXT_E016|EXT_E017|EXT_E018|EXT_E019|EXT_E020|EXT_E021
DIRECT_FREE,GENERAL_RULE_EXCEPTION,10,50,37,0.74,0,0.0,0,0.0,13,7,0.7,8,EXT_E003|EXT_E022|EXT_E023|EXT_E024|EXT_E025|EXT_E026|EXT_E027|EXT_E028|EXT_E029|EXT_E030
DIRECT_FREE,TEMPORAL_VERSION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E001|EXT_E004|EXT_E005|EXT_E006|EXT_E007|EXT_E008|EXT_E009|EXT_E010|EXT_E011|EXT_E012
OPTION_FORMAL_OPERATION,CROSS_SENTENCE_SCOPE,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E002|EXT_E013|EXT_E014|EXT_E015|EXT_E016|EXT_E017|EXT_E018|EXT_E019|EXT_E020|EXT_E021
OPTION_FORMAL_OPERATION,GENERAL_RULE_EXCEPTION,10,50,47,0.94,0,0.0,3,0.06,0,8,0.8,10,EXT_E003|EXT_E022|EXT_E023|EXT_E024|EXT_E025|EXT_E026|EXT_E027|EXT_E028|EXT_E029|EXT_E030
OPTION_FORMAL_OPERATION,TEMPORAL_VERSION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E001|EXT_E004|EXT_E005|EXT_E006|EXT_E007|EXT_E008|EXT_E009|EXT_E010|EXT_E011|EXT_E012
OPTION_FORMAL_POLICY,CROSS_SENTENCE_SCOPE,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E002|EXT_E013|EXT_E014|EXT_E015|EXT_E016|EXT_E017|EXT_E018|EXT_E019|EXT_E020|EXT_E021
OPTION_FORMAL_POLICY,GENERAL_RULE_EXCEPTION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E003|EXT_E022|EXT_E023|EXT_E024|EXT_E025|EXT_E026|EXT_E027|EXT_E028|EXT_E029|EXT_E030
OPTION_FORMAL_POLICY,TEMPORAL_VERSION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E001|EXT_E004|EXT_E005|EXT_E006|EXT_E007|EXT_E008|EXT_E009|EXT_E010|EXT_E011|EXT_E012
OPTION_FORMAL_POLICY_HARD_GATE,CROSS_SENTENCE_SCOPE,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E002|EXT_E013|EXT_E014|EXT_E015|EXT_E016|EXT_E017|EXT_E018|EXT_E019|EXT_E020|EXT_E021
OPTION_FORMAL_POLICY_HARD_GATE,GENERAL_RULE_EXCEPTION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E003|EXT_E022|EXT_E023|EXT_E024|EXT_E025|EXT_E026|EXT_E027|EXT_E028|EXT_E029|EXT_E030
OPTION_FORMAL_POLICY_HARD_GATE,TEMPORAL_VERSION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E001|EXT_E004|EXT_E005|EXT_E006|EXT_E007|EXT_E008|EXT_E009|EXT_E010|EXT_E011|EXT_E012
OPTION_VALUE_ONLY,CROSS_SENTENCE_SCOPE,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E002|EXT_E013|EXT_E014|EXT_E015|EXT_E016|EXT_E017|EXT_E018|EXT_E019|EXT_E020|EXT_E021
OPTION_VALUE_ONLY,GENERAL_RULE_EXCEPTION,10,50,50,1.0,0,0.0,0,0.0,0,10,1.0,10,EXT_E003|EXT_E022|EXT_E023|EXT_E024|EXT_E025|EXT_E026|EXT_E027|EXT_E028|EXT_E029|EXT_E030
OPTION_VALUE_ONLY,TEMPORAL_VERSION,10,50,49,0.98,0,0.0,1,0.02,0,9,0.9,10,EXT_E001|EXT_E004|EXT_E005|EXT_E006|EXT_E007|EXT_E008|EXT_E009|EXT_E010|EXT_E011|EXT_E012
