method,semantic_type,attempts,coverage,oracle_accuracy,oracle_ci95_low,oracle_ci95_high,wrong_selection_rate,invalid_output_rate,abstain_rate,mean_runtime_ms
DIRECT_FREE,ALL,150,0.9133333333333333,0.9133333333333333,0.8573717762637809,0.9486528217252759,0.0,0.08666666666666667,0.0,3574.17
DIRECT_FREE,CROSS_SENTENCE_SCOPE,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,3742.24
DIRECT_FREE,GENERAL_RULE_EXCEPTION,50,0.74,0.74,0.6044684273515117,0.8412847250644762,0.0,0.26,0.0,3451.56
DIRECT_FREE,TEMPORAL_VERSION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,3528.72
OPTION_FORMAL_OPERATION,ALL,150,0.98,0.98,0.9428533167296139,0.9931752486770326,0.0,0.0,0.02,3311.71
OPTION_FORMAL_OPERATION,CROSS_SENTENCE_SCOPE,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,3384.88
OPTION_FORMAL_OPERATION,GENERAL_RULE_EXCEPTION,50,0.94,0.94,0.8378290831116182,0.979385029651026,0.0,0.0,0.06,3264.68
OPTION_FORMAL_OPERATION,TEMPORAL_VERSION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,3285.58
OPTION_FORMAL_POLICY,ALL,150,1.0,1.0,0.9750297556319235,1.0,0.0,0.0,0.0,2924.48
OPTION_FORMAL_POLICY,CROSS_SENTENCE_SCOPE,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,2900.68
OPTION_FORMAL_POLICY,GENERAL_RULE_EXCEPTION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,2920.72
OPTION_FORMAL_POLICY,TEMPORAL_VERSION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,2952.04
OPTION_FORMAL_POLICY_HARD_GATE,ALL,150,1.0,1.0,0.9750297556319235,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,CROSS_SENTENCE_SCOPE,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,GENERAL_RULE_EXCEPTION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0
OPTION_FORMAL_POLICY_HARD_GATE,TEMPORAL_VERSION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,0
OPTION_VALUE_ONLY,ALL,150,0.9933333333333333,0.9933333333333333,0.9632071602251817,0.9988221986649826,0.0,0.0,0.006666666666666667,3274.9
OPTION_VALUE_ONLY,CROSS_SENTENCE_SCOPE,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,3277.54
OPTION_VALUE_ONLY,GENERAL_RULE_EXCEPTION,50,1.0,1.0,0.9286524008666414,1.0,0.0,0.0,0.0,3292.52
OPTION_VALUE_ONLY,TEMPORAL_VERSION,50,0.98,0.98,0.8950455641036219,0.9964607407283539,0.0,0.0,0.02,3254.64
