method,attempts,selected,oracle_successes,oracle_accuracy,wrong_selection_rate,abstain_rate,qwen_calls,qwen_call_rate,direct_decisions,direct_decision_rate,deterministic_selects,qwen_after_gate,total_runtime_ms,mean_runtime_ms_all_attempts,mean_runtime_ms_qwen_calls,total_prompt_eval_count,mean_prompt_eval_count_qwen_calls,total_eval_count,mean_eval_count_qwen_calls,total_token_count,mean_total_tokens_qwen_calls
DIRECT_FREE,60,45,45,0.75,0.0,0.25,60,1.0,0,0.0,0,0,265197,4419.95,4419.95,43090,718.1666666666666,5998,99.96666666666667,49088,818.1333333333333
FIRST_POSITION,1200,1200,418,0.34833333333333333,0.6516666666666666,0.0,0,0.0,1200,1.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
HASH_FIRST,1200,1200,500,0.4166666666666667,0.5833333333333334,0.0,0,0.0,1200,1.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
LATEST_AUTHORITY_UNIQUE,1200,200,0,0.0,0.16666666666666666,0.8333333333333334,0,0.0,1200,1.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
LOWEST_ORIGINAL_ID,1200,1200,200,0.16666666666666666,0.8333333333333334,0.0,0,0.0,1200,1.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
OPTION_DESCRIPTION,60,60,60,1.0,0.0,0.0,60,1.0,0,0.0,0,0,301685,5028.083333333333,5028.083333333333,61200,1020,6874,114.56666666666666,68074,1134.5666666666666
OPTION_FORMAL_OPERATION,60,51,41,0.6833333333333333,0.16666666666666666,0.15,60,1.0,0,0.0,0,0,319045,5317.416666666667,5317.416666666667,77270,1287.8333333333333,7084,118.06666666666666,84354,1405.9
OPTION_FORMAL_POLICY,60,60,58,0.9666666666666667,0.03333333333333333,0.0,60,1.0,0,0.0,0,0,299674,4994.566666666667,4994.566666666667,103500,1725,6328,105.46666666666667,109828,1830.4666666666667
OPTION_FORMAL_POLICY_HARD_GATE,60,60,60,1.0,0.0,0.0,0,0.0,60,1.0,60,0,0,0,0.0,0,0.0,0,0.0,0,0.0
OPTION_VALUE_ONLY,60,55,46,0.7666666666666667,0.15,0.08333333333333333,60,1.0,0,0.0,0,0,301223,5020.383333333333,5020.383333333333,48830,813.8333333333334,6906,115.1,55736,928.9333333333333
RANDOM,1200,1200,421,0.35083333333333333,0.6491666666666667,0.0,0,0.0,1200,1.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
VALUE_ENUM,60,44,44,0.7333333333333333,0.0,0.26666666666666666,60,1.0,0,0.0,0,0,253614,4226.9,4226.9,43330,722.1666666666666,5936,98.93333333333334,49266,821.1
